year,month,level,category,units,yoy_pct
2025,9,model,,641,
2025,9,model,,961,
2025,9,model,,961,
2025,9,model,,1922,
2025,9,model,,1922,
2025,9,model,,2243,
2025,9,model,,2563,
2025,9,model,,3204,
2025,9,model,,3524,
2025,9,model,,3844,
2025,9,model,,4485,
2025,9,model,,6087,
2025,9,model,,7369,
2025,9,model,,8009,
2025,9,model,,18261,
2025,9,powertrain,BEV,9107,99.1
2025,9,powertrain,HEV,12764,108.73
2025,9,powertrain,ICE,9065,-22.08
2025,9,powertrain,PHEV,637,223.35
2025,9,powertrain,REEV,149,100.0
2025,9,segment,PICKUP_1T,,
2025,9,total,TOTAL,48350,23.82
2025,8,maker,,10,
2025,8,maker,,10,
2025,8,maker,,20,
2025,8,maker,,30,
2025,8,maker,,60,
2025,8,maker,,90,
2025,8,maker,,360,
2025,8,maker,,570,
2025,8,maker,,590,
2025,8,maker,,630,
2025,8,maker,,650,
2025,8,maker,,720,
2025,8,maker,,128,
2025,8,maker,,136,
2025,8,maker,,272701,
2025,8,maker,,149,
2025,8,maker,,151,
2025,8,maker,,161,
2025,8,maker,,190,
2025,8,maker,,204,
2025,8,maker,,220,
2025,8,maker,,258,
2025,8,maker,,260,
2025,8,maker,,342,
2025,8,maker,,416,
2025,8,maker,,464,
2025,8,maker,,471,
2025,8,maker,,483,
2025,8,maker,,575,
2025,8,maker,,758,
2025,8,maker,,883,
2025,8,maker,,1011,
2025,8,maker,,1301,
2025,8,maker,,1624,
2025,8,maker,,2357,
2025,8,maker,,2519,
2025,8,maker,,4713,
2025,8,maker,,5189,
2025,8,maker,,17854,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,319,
2025,8,model,,639,
2025,8,model,,639,
2025,8,model,,639,
2025,8,model,,319,
2025,8,model,,639,
2025,8,model,,639,
2025,8,model,,958,
2025,8,model,,1596,
2025,8,model,,1596,
2025,8,model,,1916,
2025,8,model,,2235,
2025,8,model,,2235,
2025,8,model,,2873,
2025,8,model,,3193,
2025,8,model,,3512,
2025,8,model,,4470,
2025,8,model,,6066,
2025,8,model,,7343,
2025,8,model,,7662,
2025,7,maker,,10,
2025,7,maker,,10,
2025,7,maker,,20,
2025,7,maker,,30,
2025,7,maker,,40,
2025,7,maker,,40,
2025,7,maker,,60,
2025,7,maker,,70,
2025,7,maker,,80,
2025,7,maker,,390,
2025,7,maker,,470,
2025,7,maker,,540,
2025,7,maker,,770,
2025,7,maker,,800,
2025,7,maker,,111,
2025,7,maker,,143,
2025,7,maker,,163,
2025,7,maker,,172,
2025,7,maker,,178,
2025,7,maker,,197,
2025,7,maker,,198,
2025,7,maker,,204,
2025,7,maker,,205,
2025,7,maker,,215,
2025,7,maker,,278,
2025,7,maker,,306,
2025,7,maker,,386,
2025,7,maker,,452,
2025,7,maker,,521,
2025,7,maker,,584,
2025,7,maker,,630,
2025,7,maker,,643,
2025,7,maker,,736,
2025,7,maker,,754,
2025,7,maker,,759,
2025,7,maker,,1004,
2025,7,maker,,1917,
2025,7,maker,,2639,
2025,7,maker,,3265,
2025,7,maker,,4740,
2025,7,maker,,5654,
2025,7,maker,,19718,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,50,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,50,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,100,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,150,
2025,7,model,,200,
2025,7,model,,251,
2025,7,model,,301,
2025,7,model,,351,
2025,7,model,,351,
2025,7,model,,351,
2025,7,model,,351,
2025,7,model,,351,
2025,7,model,,451,
2025,7,model,,451,
2025,7,model,,551,
2025,7,model,,551,
2025,7,model,,601,
2025,7,model,,601,
2025,7,model,,701,
2025,7,model,,752,
2025,7,model,,952,
2025,7,model,,952,
2025,7,model,,952,
2025,7,model,,1002,
2025,7,model,,1052,
2025,7,model,,1152,
2025,7,model,,1253,
2025,7,model,,1453,
2025,7,model,,1754,
2025,7,model,,2204,
2025,7,model,,2956,
2025,7,model,,3657,
2025,7,model,,4710,
2025,7,model,,5211,
2025,6,maker,,10,
2025,6,maker,,10,
2025,6,maker,,20,
2025,6,maker,,20,
2025,6,maker,,30,
2025,6,maker,,40,
2025,6,maker,,80,
2025,6,maker,,90,
2025,6,maker,,190,
2025,6,maker,,260,
2025,6,maker,,510,
2025,6,maker,,520,
2025,6,maker,,680,
2025,6,maker,,790,
2025,6,maker,,830,
2025,6,maker,,110,
2025,6,maker,,147,
2025,6,maker,,159,
2025,6,maker,,175,
2025,6,maker,,185,
2025,6,maker,,188,
2025,6,maker,,206,
2025,6,maker,,219,
2025,6,maker,,236,
2025,6,maker,,258,
2025,6,maker,,289,
2025,6,maker,,363,
2025,6,maker,,363,
2025,6,maker,,434,
2025,6,maker,,533,
2025,6,maker,,566,
