year,month,maker,model,vama_class,seats,units,units_ytd
2026,5,Daewoo Truck,HC/HU,Light truck,,,2
2026,5,NGVANG NS700 + DV,8D0O0NGVANG NS700,Light truck,2~3,,153
2026,5,Honda,Civic TypeR,Others,5 seats,,1
2026,5,SAMCO,Hooklift,Hooklift (SPV),3 seats,,3
2026,5,SAMCO,Fire truck,Fire fighting truck (SPV),7 seats,,2
2026,5,Isuzu,Bus Chassis,Chassis,,,71
2026,5,Toyota,Alphard,MPV,7 seats,,11
2026,5,Toyota,Corolla Hybrid,Hybrid,6 seats,,2
2026,5,Toyota,Corolla,Sedan,5 seats,,14
2026,5,Mitsubishi,Pajero Sport,SUV,7 seats,,81
2026,4,THACO TRUCK,Truck,Light truck,2 seats,2451,8176
2026,4,Toyota,Veloz Cross,MPV,7 seats,1503,3678
2026,4,Mitsubishi,Xforce,SUV,5 seats,1250,4511
2026,4,Toyota,Yaris Cross,SUV,5 seats,1238,4843
2026,4,THACO MAZDA,CX-5,Crossover,5 seats,1177,5820
2026,4,Mitsubishi,Xpander (CBU),MPV,7 seats,1057,4206
2026,4,Ford,Territory,MPV,5 seats,934,4345
2026,4,Isuzu,Truck,Other Truck,3 seats,846,3004
2026,4,Ford,Ranger CKD,Pick-up,5 seats,801,4040
2026,4,Toyota,Vios,Sedan,5 seats,750,3487
2026,4,THACO KIA,Seltos,Crossover,5 seats,742,3067
2026,4,Toyota,Hilux,Pick-up,5 seats,684,2333
2026,4,Ford,Everest,SUV,7 seats,641,4221
2026,4,THACO MAZDA,Mazda2,Sedan,5 seats,640,1687
2026,4,THACO KIA,Sonet,Crossover,5 seats,598,2821
2026,4,Mitsubishi,Destinator,SUV,7 seats,568,3562
2026,4,Honda Honda,CITY,Sedan,5 seats,484,2165
2026,4,Toyota,Corolla Cross Hybrid,Hybrid,5 seats,460,1639
2026,4,Honda,CR-V Hybrid,Hybrid,5 seats,440,1105
2026,4,THACO KIA,Carnival,MPV,7 seats,386,1460
2026,4,THACO KIA4. VA,CMareAnssendtomedia_April26,SUV,Pa7g seeats 1,374,
2026,4,Toyota,Innova Cross Hybrid,Hybrid,7 seats,353,1472
2026,4,Toyota,Innova Cross,MPV,8 seats,348,1748
2026,4,Ford,Transit,Minibus,16 seats,309,1337
2026,4,Honda,HR-V,SUV,5 seats,290,1110
2026,4,THACO MAZDA,CX-8,SUV,7 seats,276,1208
2026,4,Honda,CR-V,SUV,7 seats,266,1374
2026,4,Toyota,Raize,SUV,5 seats,251,981
2026,4,Suzuki,Super Carry Pro,Small truck,2 seats,251,989
2026,4,Toyota,Corolla Cross,SUV,5 seats,243,519
2026,4,Hino,HINO,Other Truck,3 seats,232,1194
2026,4,THACO MAZDA,Mazda3,Sedan,5 seats,229,1143
2026,4,Mitsubishi,Xpander (CKD),MPV,7 seats,216,1298
2026,4,JMC,IZ,Light truck,,215,725
2026,4,Mitsubishi,Triton,Pick-up,5 seats,212,1184
2026,4,Honda,BR-V,MPV,7 seats,199,905
2026,4,THACO KIA,Xe khác,Others,5 seats,149,685
2026,4,BUS THACO,Bus,Large bus,12 ~ 45 seats,146,722
2026,4,Mitsubishi,Attrage,Sedan,5 seats,136,506
2026,4,Ford,Ranger CBU,Pick-up,5 seats,132,1005
2026,4,Toyota,Avanza Premio CKD,MPV,7 seats,121,321
2026,4,THACO KIA,Sportage,SUV,5 seats,120,523
2026,4,Toyota,Camry Hybrid,Hybrid,5 seats,115,297
2026,4,THACO MAZDA,CX-3,SUV,5 seats,110,366
2026,4,Toyota,Yaris Cross Hybrid,Hybrid,5 seats,106,667
2026,4,THACO MAZDA,CX-30,SUV,5 seats,100,409
2026,4,THACO KIA,Sorento,SUV,7 seats,100,294
2026,4,Honda,HR-V Hybrid,Hybrid 5 seats,,92,446
2026,4,Suzuki,Fronx,SUV,5 seats,77,365
2026,4,THACO PREMIUM,Peugeot,Peugeot,7 seats,72,464
2026,4,Suzuki,XL7 Hybrid,Hybrid,7 seats,63,842
2026,4,Toyota,Fortuner (CBU),SUV,7 seats,60,313
2026,4,Suzuki,EECO,Van,2 seats,60,275
2026,4,Honda,Civic Hybrid,Hybrid,5 seats,59,267
2026,4,Ford,Mach-E,BEV,5 seats,49,50
2026,4,Toyota,Landcruiser,SUV,7 seats,48,261
2026,4,Toyota,Land Prado,SUV,7 seats,39,123
2026,4,Toyota,Alphard Hybrid,Hybrid,7 seats,35,111
2026,4,Missu Tải,Missu,Small truck,,22,22
2026,4,Toyota,Camry,Sedan,5 seats,22,61
2026,4,NGVANG NS700 + DV,8D0O0NGVANG NS700,Light truck,2~3,20,153
2026,4,Isuzu,Bus Chassis,Chassis,,13,71
2026,4,Isuzu,D-Max,Pick-up,5 seats,11,317
